Year,UNIT_MEASURE,SERIES,Регионы,Value
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,5.9
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,3.9
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,5.8
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Южно-Казахстанская,4.1
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,0.9
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,4.9
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Восточно-Казахстанская,3.0
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Нур-Султан,21.7
2017,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,г_Алматы,5.0
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,,987.3
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Акмолинская,73.5
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Актюбинская,49.5
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Алматинская,123.2
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Атырауская,49.0
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Западно-Казахстанская,26.3
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Жымбылская,41.7
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Карагандинская,83.6
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Костанайская,66.4
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Кызылординская,33.9
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Мангистауская,31.4
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Южно-Казахстанская,71.5
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Павлодарская,48.6
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Северо-Казахстанская,51.5
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,Восточно-Казахстанская,77.7
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Нур-Султан,50.0
2017,тыс.единиц,от 2 Мбит/сек до менее 10 Мбит/сек,г_Алматы,109.5
2017,тыс.единиц,выше 10 Мбит/сек,Акмолинская,26.6
2017,тыс.единиц,выше 10 Мбит/сек,Актюбинская,28.4
2017,тыс.единиц,выше 10 Мбит/сек,Алматинская,32.1
2017,тыс.единиц,выше 10 Мбит/сек,Атырауская,22.7
2017,тыс.единиц,выше 10 Мбит/сек,Западно-Казахстанская,16.0
2017,тыс.единиц,выше 10 Мбит/сек,Жымбылская,15.5
2017,тыс.единиц,выше 10 Мбит/сек,Карагандинская,75.0
2017,тыс.единиц,выше 10 Мбит/сек,Костанайская,36.6
2017,тыс.единиц,выше 10 Мбит/сек,Кызылординская,11.8
2017,тыс.единиц,выше 10 Мбит/сек,Мангистауская,31.1
2017,тыс.единиц,выше 10 Мбит/сек,Южно-Казахстанская,23.6
2017,тыс.единиц,выше 10 Мбит/сек,Павлодарская,54.6
2017,тыс.единиц,выше 10 Мбит/сек,Северо-Казахстанская,29.5
2017,тыс.единиц,выше 10 Мбит/сек,Восточно-Казахстанская,61.4
2017,тыс.единиц,выше 10 Мбит/сек,г_Нур-Султан,98.7
2017,тыс.единиц,выше 10 Мбит/сек,г_Алматы,860.7
2018,тыс.единиц,,,2461.3
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,,67.4
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Акмолинская,3.8
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Актюбинская,2.4
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Алматинская,1.8
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Атырауская,2.7
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Западно-Казахстанская,1.9
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Жымбылская,1.8
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Карагандинская,5.2
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Костанайская,2.6
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Кызылординская,3.0
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Мангистауская,6.8
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Павлодарская,1.1
2018,тыс.единиц,от 256 кБит/сек до менее 2 Мбит/сек,Северо-Казахстанская,2.9
