Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,83.3
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,91.8
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,93.6
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,97.7
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,88.6
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Павлодарская,,90.4
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,40.0
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,46.0
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,46.1
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,49.3
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,49.9
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,49.7
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,48.2
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,51.4
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Северо-Казахстанская,,51.5
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Туркестанская,,71.0
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,327.1
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,417.9
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,476.6
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,553.3
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,595.1
