Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,PER_1000000_POP,_L_KZ_090102_1M,,,3379.2
2011,PER_1000000_POP,_L_KZ_090102_1M,,,4131.3
2012,PER_1000000_POP,_L_KZ_090102_1M,,,4512.0
2013,PER_1000000_POP,_L_KZ_090102_1M,,,4985.6
2014,PER_1000000_POP,_L_KZ_090102_1M,,,5434.6
2015,PER_1000000_POP,_L_KZ_090102_1M,,,5922.8
2016,PER_1000000_POP,_L_KZ_090102_1M,,,6021.7
2017,PER_1000000_POP,_L_KZ_090102_1M,,,7363.7
2018,PER_1000000_POP,_L_KZ_090102_1M,,,7858.5
2010,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,29.3
2011,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,27.8
2012,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,30.0
2013,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,25.5
2014,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,28.5
2015,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,25.2
2016,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,16.2
2017,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,10.6
2018,PER_1000000_POP,_L_KZ_090102_1M,KZALM,,7.6
2010,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,4.7
2011,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,0.8
2012,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,0.4
2015,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,4.3
2016,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,0.1
2017,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,0.16
2018,PER_1000000_POP,_L_KZ_090102_1M,KZATY,,0.01
2010,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,18.8
2011,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,12.2
2012,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,59.7
2013,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,10.0
2014,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,8.5
2018,PER_1000000_POP,_L_KZ_090102_1M,KZKAR,,8.0
2012,PER_1000000_POP,_L_KZ_090102_1M,KZZAP,,7.2
