Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,AGE,Value
2012,PT,KZKAR,,,Y45T54,5.6
2012,PT,KZKAR,,,Y55T64,2.1
2012,PT,KZKUS,,,Y16T24,5.2
2012,PT,KZKUS,,,M25T28,7.3
2012,PT,KZKUS,,,M29T34,5.7
2012,PT,KZKUS,,,Y35T44,6.8
2012,PT,KZKUS,,,Y45T54,4.5
2012,PT,KZKUS,,,Y55T64,2.5
2012,PT,KZKZY,,,Y16T24,6.9
2012,PT,KZKZY,,,M25T28,5.9
2012,PT,KZKZY,,,M29T34,5.5
2012,PT,KZKZY,,,Y35T44,4.9
2012,PT,KZKZY,,,Y45T54,3.9
2012,PT,KZKZY,,,Y55T64,7.2
2012,PT,KZMAN,,,Y16T24,4.3
2012,PT,KZMAN,,,M25T28,4.8
2012,PT,KZMAN,,,M29T34,9.5
2012,PT,KZMAN,,,Y35T44,4.5
2012,PT,KZMAN,,,Y45T54,4.5
2012,PT,KZMAN,,,Y55T64,4.4
2012,PT,KZONT,,,Y16T24,0.9
2012,PT,KZONT,,,M25T28,9.3
2012,PT,KZONT,,,M29T34,8.2
2012,PT,KZONT,,,Y35T44,4.8
2012,PT,KZONT,,,Y45T54,5.8
2012,PT,KZONT,,,Y55T64,3.6
2012,PT,KZPAV,,,Y16T24,4.1
2012,PT,KZPAV,,,M25T28,6.2
2012,PT,KZPAV,,,M29T34,2.9
2012,PT,KZPAV,,,Y35T44,4.6
2012,PT,KZPAV,,,Y45T54,5.4
2012,PT,KZPAV,,,Y55T64,7.6
2012,PT,KZSEV,,,Y16T24,4.3
2012,PT,KZSEV,,,M25T28,8.9
2012,PT,KZSEV,,,M29T34,3.9
2012,PT,KZSEV,,,Y35T44,5.9
2012,PT,KZSEV,,,Y45T54,5.0
2012,PT,KZSEV,,,Y55T64,4.8
2012,PT,KZVOS,,,Y16T24,5.7
2012,PT,KZVOS,,,M25T28,6.3
2012,PT,KZVOS,,,M29T34,8.7
2012,PT,KZVOS,,,Y35T44,4.5
2012,PT,KZVOS,,,Y45T54,3.0
2012,PT,KZVOS,,,Y55T64,2.5
2012,PT,KZNS,,,Y16T24,8.9
2012,PT,KZNS,,,M25T28,5.2
2012,PT,KZNS,,,M29T34,5.9
2012,PT,KZNS,,,Y35T44,4.3
2012,PT,KZNS,,,Y45T54,5.3
2012,PT,KZNS,,,Y55T64,4.7
2012,PT,KZALA,,,Y16T24,6.0
2012,PT,KZALA,,,M25T28,4.9
2012,PT,KZALA,,,M29T34,3.7
2012,PT,KZALA,,,Y35T44,6.8
2012,PT,KZALA,,,Y45T54,6.7
2012,PT,KZALA,,,Y55T64,5.6
2013,PT,,,,,5.2
2013,PT,KZAKM,,,,5.2
2013,PT,KZAKT,,,,4.9
2013,PT,KZALM,,,,4.9
2013,PT,KZATY,,,,5.0
2013,PT,KZZAP,,,,5.1
2013,PT,KZZHA,,,,5.2
2013,PT,KZKAR,,,,5.0
2013,PT,KZKUS,,,,5.2
2013,PT,KZKZY,,,,5.2
2013,PT,KZMAN,,,,5.5
2013,PT,KZONT,,,,5.5
2013,PT,KZPAV,,,,5.0
2013,PT,KZSEV,,,,5.1
2013,PT,KZVOS,,,,5.1
2013,PT,KZNS,,,,5.5
2013,PT,KZALA,,,,5.6
2013,PT,,,M,,4.6
2013,PT,KZAKM,,M,,4.7
2013,PT,KZAKT,,M,,3.3
2013,PT,KZALM,,M,,5.9
2013,PT,KZATY,,M,,4.7
2013,PT,KZZAP,,M,,4.2
2013,PT,KZZHA,,M,,5.1
2013,PT,KZKAR,,M,,4.8
2013,PT,KZKUS,,M,,4.4
2013,PT,KZKZY,,M,,4.1
2013,PT,KZMAN,,M,,2.7
2013,PT,KZONT,,M,,3.9
2013,PT,KZPAV,,M,,4.2
2013,PT,KZSEV,,M,,5.1
2013,PT,KZVOS,,M,,4.7
2013,PT,KZNS,,M,,4.7
2013,PT,KZALA,,M,,4.7
2013,PT,,,F,,5.9
2013,PT,KZAKM,,F,,5.6
2013,PT,KZAKT,,F,,6.6
2013,PT,KZALM,,F,,3.9
2013,PT,KZATY,,F,,5.3
2013,PT,KZZAP,,F,,6.0
2013,PT,KZZHA,,F,,5.3
2013,PT,KZKAR,,F,,5.2
2013,PT,KZKUS,,F,,5.9
2013,PT,KZKZY,,F,,6.4
2013,PT,KZMAN,,F,,8.8
2013,PT,KZONT,,F,,7.4
2013,PT,KZPAV,,F,,5.8
2013,PT,KZSEV,,F,,5.1
2013,PT,KZVOS,,F,,5.4
2013,PT,KZNS,,F,,6.3
2013,PT,KZALA,,F,,6.5
2013,PT,,U,,,5.4
2013,PT,KZAKM,U,,,4.8
2013,PT,KZAKT,U,,,5.4
2013,PT,KZALM,U,,,4.7
2013,PT,KZATY,U,,,4.7
2013,PT,KZZAP,U,,,4.9
2013,PT,KZZHA,U,,,6.5
2013,PT,KZKAR,U,,,4.9
2013,PT,KZKUS,U,,,6.7
2013,PT,KZKZY,U,,,5.0
2013,PT,KZMAN,U,,,4.9
2013,PT,KZONT,U,,,6.1
2013,PT,KZPAV,U,,,5.4
2013,PT,KZSEV,U,,,5.1
2013,PT,KZVOS,U,,,5.4
2013,PT,KZNS,U,,,5.5
2013,PT,KZALA,U,,,5.6
2013,PT,,R,,,4.9
2013,PT,KZAKM,R,,,5.5
2013,PT,KZAKT,R,,,4.2
2013,PT,KZALM,R,,,5.0
2013,PT,KZATY,R,,,5.3
2013,PT,KZZAP,R,,,5.2
2013,PT,KZZHA,R,,,4.4
2013,PT,KZKAR,R,,,5.2
2013,PT,KZKUS,R,,,3.7
2013,PT,KZKZY,R,,,5.3
2013,PT,KZMAN,R,,,6.3
2013,PT,KZONT,R,,,5.2
2013,PT,KZPAV,R,,,4.2
2013,PT,KZSEV,R,,,5.0
2013,PT,KZVOS,R,,,4.6
2013,PT,,,,Y16T24,3.9
2013,PT,,,,M25T28,7.1
2013,PT,,,,M29T34,7.0
2013,PT,,,,Y35T44,4.8
2013,PT,,,,Y45T54,4.3
2013,PT,,,,Y55T64,4.2
2013,PT,KZAKM,,,Y16T24,3.8
2013,PT,KZAKM,,,M25T28,6.6
2013,PT,KZAKM,,,M29T34,3.5
2013,PT,KZAKM,,,Y35T44,5.9
