Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2014,PT,KZKZY,,,34.0
2014,PT,KZMAN,,,44.6
2014,PT,KZONT,,,32.9
2014,PT,KZPAV,,,32.0
2014,PT,KZSEV,,,31.3
2014,PT,KZVOS,,,35.0
2014,PT,KZNS,,,35.9
2014,PT,KZALA,,,38.4
2014,PT,,U,,37.1
2014,PT,KZAKM,U,,37.7
2014,PT,KZAKT,U,,39.6
2014,PT,KZALM,U,,30.5
2014,PT,KZATY,U,,23.7
2014,PT,KZZAP,U,,32.0
2014,PT,KZZHA,U,,27.5
2014,PT,KZKAR,U,,37.0
2014,PT,KZKUS,U,,41.4
2014,PT,KZKZY,U,,38.1
2014,PT,KZMAN,U,,46.4
2014,PT,KZONT,U,,35.5
2014,PT,KZPAV,U,,31.5
2014,PT,KZSEV,U,,34.0
2014,PT,KZVOS,U,,37.8
2014,PT,KZNS,U,,37.6
2014,PT,KZALA,U,,39.3
2014,PT,,R,,30.2
2014,PT,KZAKM,R,,29.6
2014,PT,KZAKT,R,,30.6
2014,PT,KZALM,R,,25.3
2014,PT,KZATY,R,,32.7
